Original_Folder,New_Folder
hlp17umm01343_03378,madc01
STAGE_hlp17umm01343_03378,madc02
STAGE_bmh17umm01347_03358,madc03
bmh17umm01347_03358,madc04
hlp17umm01366_03424,madc05
STAGE_hlp17umm01366_03424,madc06
STAGE_bmh17umm01337_03349,madc07
bmh17umm01337_03349,madc08
hlp17umm01338_03383,madc09
STAGE_hlp17umm01338_03383,madc10
STAGE_hlp17umm01355_03359,madc11
hlp17umm01355_03359,madc12
hlp17umm01339_03384,madc13
STAGE_hlp17umm01339_03384,madc14
STAGE_bmh17umm01342_03350,madc15
bmh17umm01342_03350,madc16
hlp17umm01359_03418,madc17
STAGE_hlp17umm01359_03418,madc18
STAGE_hlp17umm01367_03423,madc19
hlp17umm01367_03423,madc20
